graph,person_id,income_510031,income_552988,income_620120,spending_459381,spending_466907,spending_473173,spending_503218,spending_503701,spending_520660,spending_523927,spending_527449,spending_536346,spending_537281,spending_567195,spending_571970,spending_575030,spending_577992,spending_580426,spending_589943,spending_595298,spending_595581,spending_606730,spending_616315,spending_620120,spending_621924,spending_630626,spending_632961,spending_640784,spending_642329,spending_644226,total_spending,total_income,net_financial
q1_graph1,591682,0.0,25608.4,0.0,622.49,946.77,2644.97,0.0,0.0,986.71,2053.41,218.03,678.13,712.92,0.0,0.0,4091.49,0.0,220.8,1180.7,3245.92,2019.74,0.0,943.81,6090.91,137.73,5662.73,806.75,1502.74,599.59,1694.31,37060.649999999994,25608.4,-11452.249999999993
q1_graph1,592414,0.0,49976.2,5471.99,1265.29,1107.68,725.17,0.0,2522.31,0.0,4573.48,576.89,0.0,720.36,5063.82,243.81,0.0,1441.09,483.1,5302.38,3137.79,2658.66,0.0,3429.01,0.0,0.0,0.0,0.0,0.0,1882.53,0.0,35133.369999999995,55448.189999999995,20314.82
q1_graph1,596193,0.0,7055.78,0.0,498.56,215.51,512.2,0.0,3200.76,0.0,80.41,25.88,0.0,0.0,0.0,5.5,740.74,5715.91,114.24,0.0,3494.46,0.0,0.0,0.0,1413.95,5373.2,0.0,505.63,0.0,762.62,0.0,22659.57,7055.78,-15603.79
q1_graph1,599057,1282.76,26766.3,2317.44,1671.82,607.33,5174.1,0.0,7222.34,1584.35,1013.67,50.84,937.43,0.0,4545.13,0.0,0.0,121.9,0.0,2235.21,151.14,1123.79,0.0,2716.78,0.0,3217.81,11194.7,147.47,0.0,0.0,2032.53,45748.34,30366.499999999996,-15381.84
q1_graph1,599063,75.86,19798.9,0.0,414.66,0.0,2708.54,0.0,3459.56,2061.29,1346.45,54.66,1307.49,0.0,960.36,0.0,0.0,554.65,0.0,1526.12,2085.13,0.0,1092.76,1443.58,3118.43,746.42,2267.03,507.66,0.0,581.21,2836.08,29072.08,19874.760000000002,-9197.32
q1_graph1,599956,4527.75,87411.8,0.0,1200.8,1734.92,3394.47,0.0,5658.37,11521.2,2612.14,1287.62,2378.96,3138.12,14199.5,0.0,33836.2,573.69,0.0,4308.22,5424.06,0.0,0.0,0.0,6039.55,4397.31,15128.2,0.0,0.0,4236.9,801.56,121871.79,91939.55,-29932.23999999999
q1_graph1,608827,0.0,143858.0,0.0,2378.6,1689.16,4951.15,0.0,2935.06,0.0,0.0,456.71,0.0,2111.52,15088.4,0.0,14153.4,0.0,385.87,8444.03,5362.15,1006.36,0.0,6192.98,19480.8,12677.5,21699.3,116.31,0.0,6393.29,0.0,125522.58999999998,143858.0,18335.410000000018
q1_graph1,616050,637.05,43606.4,0.0,510.26,824.91,821.76,0.0,2707.57,0.0,1136.81,142.08,540.85,0.0,9865.87,0.0,7832.08,0.0,0.0,2521.46,3407.94,4913.07,0.0,0.0,8076.13,1670.72,6218.94,360.95,0.0,0.0,1036.27,52587.66999999999,44243.450000000004,-8344.219999999987
q1_graph1,622296,0.0,36123.4,0.0,667.4,554.54,347.59,0.0,2446.33,3331.5,0.0,170.12,942.41,0.0,2796.56,164.15,965.86,750.85,0.0,2927.57,567.63,2215.35,0.0,1981.13,4579.47,19.92,5301.05,229.1,0.0,0.0,623.17,31581.699999999997,36123.4,4541.700000000004
q1_graph1,623295,467.09,11546.5,0.0,216.96,656.77,1553.68,0.0,1189.79,0.0,1906.6,182.71,0.0,691.26,699.55,0.0,0.0,325.56,0.0,1949.02,785.52,802.67,0.0,0.0,1131.2,1099.51,0.0,0.0,0.0,0.0,0.0,13190.8,12013.59,-1177.2099999999991
q1_graph1,629717,1091.21,21204.9,0.0,889.2,312.96,478.91,0.0,1856.92,0.0,654.51,73.2,0.0,0.0,2015.43,0.0,4168.46,1563.82,245.42,2726.24,2575.65,0.0,0.0,2484.21,843.46,296.54,4249.15,281.98,0.0,192.93,0.0,25908.99,22296.11,-3612.880000000001
q1_graph1,632150,489.09,28528.2,0.0,790.06,658.42,1302.15,0.0,822.59,0.0,1608.67,303.25,0.0,0.0,0.0,0.0,0.0,0.0,915.47,2231.39,1224.3,1996.2,0.0,1118.52,3720.79,803.32,4811.33,0.0,0.0,0.0,0.0,22306.46,29017.29,6710.830000000002
q1_graph1,635665,1388.78,30019.9,0.0,1448.59,0.0,4052.61,0.0,5382.42,0.0,0.0,39.34,0.0,377.01,2739.08,0.0,34041.9,3826.62,698.17,0.0,4378.48,0.0,0.0,0.0,5472.26,461.46,0.0,896.83,197.19,1576.24,0.0,65588.20000000001,31408.68,-34179.52000000001
q1_graph1,635706,23825.6,619963.0,0.0,2812.2,1827.44,1568.36,0.0,5502.61,0.0,0.0,707.75,0.0,179.25,19509.3,419.71,12879.0,0.0,6537.83,8451.08,1346.38,0.0,0.0,0.0,288399.0,0.0,32074.0,0.0,0.0,7422.71,0.0,389636.62000000005,643788.6,254151.97999999992
q1_graph1,636961,0.0,5807.39,3209.39,2423.74,587.83,410.44,1323.6,2976.51,0.0,3215.16,884.99,0.0,274.65,2846.66,559.3,0.0,450.03,76.17,0.46,375.3,917.55,0.0,0.0,0.0,2524.68,3939.83,0.0,0.0,5236.45,0.0,29023.350000000002,9016.78,-20006.57
q1_graph1,640464,1163.1,6292.61,1089.87,2318.11,1136.42,1259.0,0.0,0.0,0.0,899.28,493.08,0.0,20.21,3406.61,426.58,0.0,7905.27,129.52,162.29,5720.56,1315.33,0.0,4161.23,0.0,3780.69,0.0,422.5,0.0,0.0,0.0,33556.68000000001,8545.579999999998,-25011.10000000001
q1_graph1,654763,999.02,22959.0,0.0,613.32,511.93,81.33,566.76,1933.55,0.0,0.0,399.58,0.0,1069.28,1941.65,0.0,568.9,0.0,169.61,2217.83,3795.32,1643.03,0.0,0.0,319.93,1537.07,4412.63,431.16,0.0,50.58,0.0,22263.46,23958.02,1694.5600000000013
q1_graph1,654981,304.79,10753.8,0.0,1805.45,655.88,732.43,0.0,586.73,0.0,2434.08,558.05,0.0,244.2,1787.56,499.85,0.0,5306.54,386.83,0.0,1269.47,986.55,0.0,0.0,2151.07,0.0,0.0,620.87,0.0,0.0,0.0,20025.559999999998,11058.59,-8966.969999999998
q1_graph2,464563,0.0,40893.3,0.0,499.73,275.05,171.99,0.0,2106.71,2362.89,2302.42,241.36,107.87,419.41,3770.63,5.5,5816.3,2432.58,0.0,824.99,1287.29,1479.93,832.72,0.0,5338.67,1513.56,6057.31,328.49,0.0,498.09,663.04,39336.53,40893.3,1556.770000000004
q1_graph2,471663,791.5,14177.3,0.0,125.72,235.75,1616.43,0.0,2341.83,0.0,0.0,359.29,0.0,0.0,68.49,0.0,67.22,382.24,0.0,1158.45,2279.98,372.92,0.0,589.65,1252.03,194.61,0.0,401.77,0.0,403.43,0.0,11849.810000000001,14968.8,3118.989999999998
q1_graph2,472522,0.0,5748.55,1699.98,72.22,622.66,152.82,0.0,3103.23,0.0,0.0,149.26,0.0,0.0,518.51,222.45,693.4,0.0,436.19,132.09,751.42,233.23,627.2,2178.34,0.0,1990.33,2352.91,0.0,0.0,1014.78,0.0,15251.039999999999,7448.530000000001,-7802.509999999998
q1_graph2,475811,277.92,4111.4,966.1,434.28,5.48,121.89,0.0,0.0,0.0,1201.2,119.59,0.0,265.86,0.0,0.0,2365.02,0.0,0.0,228.28,316.24,102.41,0.0,723.1,0.0,0.0,0.0,116.78,0.0,39.47,0.0,6039.6,5355.42,-684.1800000000003
q1_graph2,477138,0.0,5714.39,258.62,298.45,185.98,330.35,0.0,0.0,0.0,420.67,323.7,0.0,194.3,245.84,39.66,0.0,1048.98,309.72,0.0,348.78,957.56,0.0,777.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5481.360000000001,5973.01,491.64999999999964
q1_graph2,488928,0.0,20518.6,164.14,355.15,320.76,226.36,618.86,1713.46,2655.89,1681.76,77.62,1106.18,25.88,4060.69,0.0,1944.15,6.5,532.08,0.0,1888.31,0.0,773.91,208.72,0.0,748.17,7091.58,456.15,0.0,0.0,1199.93,27692.11,20682.739999999998,-7009.370000000003
q1_graph2,499312,691.62,19434.5,0.0,611.34,596.25,206.09,0.0,1661.06,1127.74,848.71,303.66,1044.11,210.09,0.0,103.71,1313.85,498.96,0.0,0.0,1652.08,0.0,0.0,722.75,2609.85,17.46,3749.53,123.72,0.0,644.66,1801.64,19847.26,20126.12,278.8600000000006
q1_graph2,501047,0.0,10817.2,1016.19,591.71,485.28,1144.8,629.48,2476.78,0.0,2970.58,137.84,0.0,0.0,929.07,0.0,4418.43,0.0,282.3,251.56,2671.77,826.02,0.0,737.78,0.0,0.0,0.0,26.77,0.0,269.63,0.0,18849.800000000003,11833.390000000001,-7016.410000000002
q1_graph2,505965,0.0,9945.54,0.0,227.65,322.05,126.48,0.0,874.89,1221.26,515.71,79.82,271.34,572.58,3171.42,61.62,1428.67,489.12,141.3,0.0,82.96,78.42,0.0,0.0,1141.88,647.87,3348.11,0.0,0.0,0.0,881.15,15684.300000000001,9945.54,-5738.76
q1_graph2,515794,153.68,1258.39,0.0,223.74,0.0,29.94,0.0,0.0,460.23,658.22,81.8,584.6,0.0,135.71,8.05,0.0,117.13,216.58,458.25,891.28,270.56,0.0,0.0,377.6,146.35,1596.67,160.57,0.0,262.17,180.64,6860.089999999999,1412.0700000000002,-5448.019999999999
q1_graph2,515799,0.0,5150.48,0.0,544.86,349.45,475.94,0.0,2272.0,0.0,683.75,129.81,0.0,0.0,820.48,0.0,0.0,0.0,32.88,1011.71,446.02,0.0,0.0,683.83,688.32,3746.87,0.0,144.34,0.0,0.0,0.0,12030.26,5150.48,-6879.780000000001
q1_graph2,527597,0.0,18210.2,0.0,680.91,755.8,820.07,0.0,761.27,1609.38,406.02,202.12,401.15,385.1,2346.63,0.0,0.0,273.8,167.01,0.0,548.87,352.52,0.0,0.0,1277.46,273.83,3860.15,207.22,440.68,412.29,981.94,17164.22,18210.2,1045.9799999999996
q1_graph2,533024,2270.29,34513.1,0.0,748.85,636.8,1598.44,0.0,2764.54,0.0,3030.47,122.51,0.0,838.17,3896.34,0.0,221.07,1271.14,629.02,0.0,1087.88,894.9,0.0,0.0,2385.08,1421.09,4800.15,622.46,282.64,1483.2,0.0,28734.75,36783.39,8048.639999999999
q1_graph2,533094,26.94,25708.9,0.0,284.32,242.12,1348.11,0.0,2402.81,2267.78,1242.83,370.94,285.79,497.09,1613.63,78.91,0.0,1395.87,0.0,0.0,782.5,0.0,0.0,1332.94,5654.7,0.0,3402.76,110.68,318.41,148.27,924.08,24704.54,25735.84,1031.2999999999993
q1_graph2,533141,213.04,12388.0,1499.45,179.11,558.24,2263.32,0.0,2727.48,0.0,0.0,212.89,0.0,203.9,0.0,105.77,0.0,0.0,85.73,1199.16,886.18,1197.33,0.0,757.71,0.0,2176.3,0.0,362.27,0.0,292.42,0.0,13207.81,14100.490000000002,892.6800000000021
q1_graph2,534034,0.0,6909.84,0.0,217.43,331.89,359.29,324.44,519.34,0.0,7.09,98.45,0.0,0.0,98.42,37.46,0.0,0.0,24.66,813.98,923.82,243.16,0.0,0.0,383.24,543.76,0.0,159.21,0.0,196.86,0.0,5282.5,6909.84,1627.3400000000001
q1_graph2,534449,0.0,2249.89,0.0,813.87,322.32,198.29,0.0,2109.64,0.0,0.0,216.81,0.0,10.19,0.0,0.0,395.95,0.0,0.0,665.7,3004.24,605.53,0.0,7.18,285.36,0.0,1185.68,0.0,0.0,0.0,0.0,9820.759999999998,2249.89,-7570.869999999999
q1_graph2,536953,0.0,6721.34,617.0,972.12,140.95,1534.03,0.0,1382.9,0.0,730.47,100.1,0.0,129.36,457.96,0.0,1970.27,1151.36,49.27,1330.24,1530.76,404.72,0.0,684.01,0.0,0.0,0.0,423.04,0.0,0.0,0.0,12991.56,7338.34,-5653.219999999999
q1_graph2,541017,289.46,28827.5,0.0,635.57,820.82,642.78,823.05,0.0,2432.0,1935.69,276.94,21.36,0.0,6094.45,180.92,8084.37,195.49,0.0,3067.24,3947.64,3866.28,729.14,3532.11,3517.98,1292.87,3583.08,431.03,0.0,484.08,1529.05,48123.94,29116.96,-19006.980000000003
q1_graph2,544615,0.0,14125.6,0.0,138.81,292.64,964.83,0.0,2483.79,0.0,1859.23,185.85,0.0,441.68,1209.5,133.2,0.0,0.0,171.51,497.49,4226.85,909.43,0.0,944.79,687.54,16.56,0.0,458.4,0.0,29.26,0.0,15651.359999999999,14125.6,-1525.7599999999984
q1_graph2,546478,652.46,8367.13,1156.32,71.09,318.2,960.31,0.0,1607.2,0.0,456.72,47.57,0.0,0.0,1323.35,13.42,9595.78,0.0,0.0,1477.07,634.8,0.0,0.0,494.24,0.0,600.97,4391.67,234.6,0.0,37.01,0.0,22264.0,10175.91,-12088.09
q1_graph2,546626,0.0,13128.4,0.0,653.41,224.34,1389.58,0.0,538.93,0.0,0.0,422.9,0.0,0.0,1910.13,0.0,0.0,459.16,296.4,843.58,619.61,431.55,0.0,0.0,1430.0,1403.88,0.0,316.14,0.0,507.64,0.0,11447.25,13128.4,1681.1499999999996
q1_graph2,548320,601.85,13557.0,0.0,340.62,500.35,1123.42,479.23,488.52,333.79,791.93,64.15,477.22,357.11,878.46,139.89,3982.11,0.0,0.0,0.0,1531.39,13.93,448.03,520.35,1071.33,575.08,1270.54,115.48,0.0,292.58,156.49,15952.0,14158.85,-1793.1499999999996
q1_graph2,552439,244.14,13256.9,0.0,264.21,407.88,229.16,0.0,1827.65,0.0,365.46,241.27,0.0,212.58,862.4,0.0,0.0,485.44,0.0,1173.18,1949.1,738.1,0.0,603.48,742.59,35.23,654.53,384.62,0.0,433.68,0.0,11610.560000000001,13501.039999999999,1890.4799999999977
q1_graph2,563211,2700.9,33865.0,0.0,325.71,801.11,2758.33,0.0,2401.99,0.0,2739.3,96.34,464.86,855.53,5301.34,0.0,855.88,2947.72,908.48,1121.43,2348.19,820.14,0.0,0.0,6505.41,0.0,4267.76,212.56,0.0,1218.25,286.6,37236.93,36565.9,-671.0299999999988
q1_graph2,563584,0.0,11708.6,0.0,551.66,88.39,795.47,347.88,429.92,1691.94,360.49,233.94,699.98,489.58,0.0,10.67,319.5,668.48,0.0,693.99,483.37,0.0,0.0,637.9,939.88,0.0,2108.03,0.0,0.0,544.88,228.24,12324.189999999999,11708.6,-615.5899999999983
q1_graph2,572413,0.0,12652.9,0.0,295.58,187.96,252.47,0.0,228.08,390.65,0.0,73.26,428.32,0.0,1743.69,0.0,2155.42,0.0,187.52,0.0,754.28,447.6,0.0,426.93,98.62,92.26,1983.14,135.67,88.82,7.71,416.46,10394.439999999999,12652.9,2258.460000000001
q1_graph2,573870,356.61,3019.34,0.0,620.7,257.91,415.5,0.0,746.46,0.0,639.76,241.38,0.0,20.72,0.0,0.0,1170.2,1416.17,99.74,0.0,414.28,481.03,0.0,435.73,351.06,0.0,0.0,274.71,0.0,184.64,0.0,7769.990000000001,3375.9500000000003,-4394.040000000001
q1_graph2,582851,0.0,18671.5,0.0,592.99,274.5,945.16,0.0,1331.52,1548.47,0.0,59.25,1010.5,687.27,2519.64,0.0,3336.95,26.02,674.77,1765.12,918.16,1318.01,0.0,0.0,4056.11,0.0,5865.03,629.85,339.98,650.69,127.16,28677.149999999994,18671.5,-10005.649999999994
q1_graph2,585212,0.0,7023.93,0.0,213.36,237.14,196.97,0.0,217.05,0.0,0.0,91.47,0.0,0.0,313.91,0.0,0.0,556.72,23.93,449.99,1168.03,470.65,0.0,512.49,116.19,233.26,0.0,53.7,0.0,203.52,0.0,5058.38,7023.93,1965.5500000000002
q1_graph2,590265,0.0,8856.87,752.56,856.28,494.53,1069.34,0.0,411.14,0.0,1117.11,279.16,0.0,489.27,384.7,0.0,12740.8,438.82,155.39,276.79,643.53,0.0,0.0,487.37,0.0,1592.1,0.0,141.13,0.0,357.9,0.0,21935.36,9609.43,-12325.93
q1_graph2,595057,167.12,5705.36,0.0,337.97,272.56,855.02,206.77,913.8,0.0,0.0,99.71,0.0,0.0,97.02,0.0,4289.16,0.0,28.62,561.93,419.67,0.0,0.0,0.0,863.35,350.13,1361.75,129.16,0.0,273.79,0.0,11060.410000000002,5872.48,-5187.930000000002
q1_graph2,599441,0.0,820.43,0.0,173.66,0.17,166.02,0.0,305.08,0.0,440.57,20.01,0.0,41.42,61.38,19.66,0.0,0.0,63.91,149.8,876.96,68.27,0.0,277.77,465.15,107.62,0.0,38.91,0.0,0.0,0.0,3276.36,820.43,-2455.9300000000003
q1_graph2,602912,0.0,18351.2,0.0,401.38,279.5,272.54,0.0,1079.16,2191.45,428.19,63.04,744.35,519.27,943.0,9.53,0.0,0.0,0.0,4242.5,1754.04,0.0,0.0,729.65,1776.52,0.0,1941.85,0.0,0.0,352.81,543.7,18272.480000000003,18351.2,78.71999999999753
q1_graph2,604021,113.92,7756.23,0.0,193.22,209.22,1234.6,0.0,176.53,881.17,0.0,134.84,561.5,0.0,0.0,84.22,1236.75,31.35,132.22,0.0,355.82,421.43,0.0,234.74,473.95,658.78,2258.44,92.79,0.0,0.0,766.83,10138.4,7870.15,-2268.25
q1_graph2,606043,22.11,17608.3,0.0,288.2,412.72,1067.92,0.0,0.0,1829.16,993.32,52.3,499.47,0.0,373.74,76.04,6003.36,804.23,0.0,1457.54,520.41,639.26,0.0,260.21,2296.04,0.0,2361.75,112.26,0.0,0.0,210.77,20258.7,17630.41,-2628.290000000001
q1_graph2,629627,336.04,6596.71,0.0,331.29,0.0,854.79,0.0,1001.63,0.0,485.15,208.98,0.0,40.21,698.93,41.97,1576.9,0.0,79.87,554.9,701.57,54.06,0.0,0.0,822.54,0.0,0.0,0.0,0.0,372.04,0.0,7824.83,6932.75,-892.0799999999999
q1_graph2,634181,0.0,15174.5,0.0,267.63,469.3,228.04,0.0,1164.48,2233.87,912.34,184.39,800.36,0.0,0.0,47.31,2201.95,1370.33,65.04,729.69,299.54,32.69,0.0,0.0,3565.2,0.0,2609.07,402.65,0.0,354.0,811.15,18749.03,15174.5,-3574.529999999999
q1_graph2,639051,8012.8,196567.0,0.0,504.52,628.37,2175.3,0.0,1839.38,0.0,0.0,131.53,0.0,74.73,13536.0,0.0,11164.1,3604.06,1281.5,3250.02,363.71,4821.65,0.0,0.0,47680.0,0.0,9218.86,0.0,0.0,3029.73,0.0,103303.45999999999,204579.8,101276.34
q1_graph2,645210,437.54,29973.6,0.0,713.63,550.46,427.59,0.0,1135.98,0.0,1223.88,278.77,0.0,418.13,0.0,0.0,6687.72,157.68,37.94,355.15,1592.06,311.95,0.0,2090.93,1480.23,0.0,4792.16,1024.9,0.0,408.57,0.0,23687.73,30411.14,6723.41
q1_graph2,653390,724.17,10042.3,0.0,431.14,99.86,1763.26,0.0,1492.32,0.0,948.67,358.62,0.0,548.16,127.56,164.8,0.0,336.03,415.63,890.84,1064.83,331.71,509.25,113.71,31.08,2228.22,0.0,0.0,0.0,251.39,0.0,12107.079999999998,10766.47,-1340.6099999999988
