Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude,graph,datetime,date,day_of_year,week,month,hour,edge_type,source_node_type,source_node_type_name,target_node_type,target_node_type_name,pair_min,pair_max
34,1,37,459754,1.0,5.0,5.0,,,,,template,2025-01-06 07:42:34,2025-01-06,6,2,1,7,phone,1,person,1,person,34,37
37,0,41,476347,1.0,,,,,,,template,2025-01-06 12:19:07,2025-01-06,6,2,1,12,email,1,person,1,person,37,41
41,0,39,494408,1.0,,,,,,,template,2025-01-06 17:20:08,2025-01-06,6,2,1,17,email,1,person,1,person,39,41
34,0,27,509489,1.0,,,,,,,template,2025-01-06 21:31:29,2025-01-06,6,2,1,21,email,1,person,1,person,27,34
34,1,27,533633,1.0,5.0,5.0,,,,,template,2025-01-07 04:13:53,2025-01-07,7,2,1,4,phone,1,person,1,person,27,34
41,0,37,540456,1.0,,,,,,,template,2025-01-07 06:07:36,2025-01-07,7,2,1,6,email,1,person,1,person,37,41
37,0,41,552924,1.0,,,,,,,template,2025-01-07 09:35:24,2025-01-07,7,2,1,9,email,1,person,1,person,37,41
34,1,27,558469,1.0,5.0,5.0,,,,,template,2025-01-07 11:07:49,2025-01-07,7,2,1,11,phone,1,person,1,person,27,34
37,0,34,573446,1.0,,,,,,,template,2025-01-07 15:17:26,2025-01-07,7,2,1,15,email,1,person,1,person,34,37
65,1,39,575922,1.0,5.0,5.0,,,,,template,2025-01-07 15:58:42,2025-01-07,7,2,1,15,phone,1,person,1,person,39,65
27,1,41,576871,1.0,5.0,5.0,,,,,template,2025-01-07 16:14:31,2025-01-07,7,2,1,16,phone,1,person,1,person,27,41
41,1,34,585647,1.0,5.0,5.0,,,,,template,2025-01-07 18:40:47,2025-01-07,7,2,1,18,phone,1,person,1,person,34,41
41,0,34,588261,1.0,,,,,,,template,2025-01-07 19:24:21,2025-01-07,7,2,1,19,email,1,person,1,person,34,41
27,1,34,589534,1.0,5.0,5.0,,,,,template,2025-01-07 19:45:34,2025-01-07,7,2,1,19,phone,1,person,1,person,27,34
41,1,34,600413,1.0,5.0,5.0,,,,,template,2025-01-07 22:46:53,2025-01-07,7,2,1,22,phone,1,person,1,person,34,41
41,1,34,609669,1.0,5.0,5.0,,,,,template,2025-01-08 01:21:09,2025-01-08,8,2,1,1,phone,1,person,1,person,34,41
41,0,34,611246,1.0,,,,,,,template,2025-01-08 01:47:26,2025-01-08,8,2,1,1,email,1,person,1,person,34,41
37,0,27,614378,1.0,,,,,,,template,2025-01-08 02:39:38,2025-01-08,8,2,1,2,email,1,person,1,person,27,37
41,0,34,631688,1.0,,,,,,,template,2025-01-08 07:28:08,2025-01-08,8,2,1,7,email,1,person,1,person,34,41
34,1,27,637600,1.0,5.0,5.0,,,,,template,2025-01-08 09:06:40,2025-01-08,8,2,1,9,phone,1,person,1,person,27,34
41,1,37,642322,1.0,5.0,5.0,,,,,template,2025-01-08 10:25:22,2025-01-08,8,2,1,10,phone,1,person,1,person,37,41
37,0,34,647884,1.0,,,,,,,template,2025-01-08 11:58:04,2025-01-08,8,2,1,11,email,1,person,1,person,34,37
27,1,37,665052,1.0,5.0,5.0,,,,,template,2025-01-08 16:44:12,2025-01-08,8,2,1,16,phone,1,person,1,person,27,37
41,1,0,700042,1.0,5.0,5.0,,,,,template,2025-01-09 02:27:22,2025-01-09,9,2,1,2,phone,1,person,1,person,0,41
65,1,41,1539767,1.0,5.0,5.0,,,,,template,2025-01-18 19:42:47,2025-01-18,18,3,1,19,phone,1,person,1,person,41,65
65,0,41,1815123,1.0,,,,,,,template,2025-01-22 00:12:03,2025-01-22,22,4,1,0,email,1,person,1,person,41,65
65,0,39,2025218,1.0,,,,,,,template,2025-01-24 10:33:38,2025-01-24,24,4,1,10,email,1,person,1,person,39,65
65,0,41,2219841,1.0,,,,,,,template,2025-01-26 16:37:21,2025-01-26,26,4,1,16,email,1,person,1,person,41,65
40,0,39,2274508,1.0,,,,,,,template,2025-01-27 07:48:28,2025-01-27,27,5,1,7,email,1,person,1,person,39,40
40,1,39,2299346,1.0,5.0,5.0,,,,,template,2025-01-27 14:42:26,2025-01-27,27,5,1,14,phone,1,person,1,person,39,40
65,0,41,2531012,1.0,,,,,,,template,2025-01-30 07:03:32,2025-01-30,30,5,1,7,email,1,person,1,person,41,65
40,0,41,2606356,1.0,,,,,,,template,2025-01-31 03:59:16,2025-01-31,31,5,1,3,email,1,person,1,person,40,41
40,0,0,2728873,1.0,,,,,,,template,2025-02-01 14:01:13,2025-02-01,32,5,2,14,email,1,person,1,person,0,40
41,0,39,2811368,1.0,,,,,,,template,2025-02-02 12:56:08,2025-02-02,33,5,2,12,email,1,person,1,person,39,41
41,0,39,2916910,1.0,,,,,,,template,2025-02-03 18:15:10,2025-02-03,34,6,2,18,email,1,person,1,person,39,41
67,0,39,2918105,1.0,,,,,,,template,2025-02-03 18:35:05,2025-02-03,34,6,2,18,email,1,person,1,person,39,67
47,0,39,2950842,1.0,,,,,,,template,2025-02-04 03:40:42,2025-02-04,35,6,2,3,email,1,person,1,person,39,47
39,0,66,2988949,1.0,,,,,,,template,2025-02-04 14:15:49,2025-02-04,35,6,2,14,email,1,person,1,person,39,66
67,0,47,3046943,1.0,,,,,,,template,2025-02-05 06:22:23,2025-02-05,36,6,2,6,email,1,person,1,person,47,67
41,1,0,3056926,1.0,5.0,5.0,,,,,template,2025-02-05 09:08:46,2025-02-05,36,6,2,9,phone,1,person,1,person,0,41
41,0,65,3194279,1.0,,,,,,,template,2025-02-06 23:17:59,2025-02-06,37,6,2,23,email,1,person,1,person,41,65
67,0,39,3239797,1.0,,,,,,,template,2025-02-07 11:56:37,2025-02-07,38,6,2,11,email,1,person,1,person,39,67
40,0,39,3253335,1.0,,,,,,,template,2025-02-07 15:42:15,2025-02-07,38,6,2,15,email,1,person,1,person,39,40
67,0,47,3274683,1.0,,,,,,,template,2025-02-07 21:38:03,2025-02-07,38,6,2,21,email,1,person,1,person,47,67
65,1,0,3305014,1.0,5.0,5.0,,,,,template,2025-02-08 06:03:34,2025-02-08,39,6,2,6,phone,1,person,1,person,0,65
41,1,40,3329197,1.0,5.0,5.0,,,,,template,2025-02-08 12:46:37,2025-02-08,39,6,2,12,phone,1,person,1,person,40,41
40,1,65,3411168,1.0,5.0,5.0,,,,,template,2025-02-09 11:32:48,2025-02-09,40,6,2,11,phone,1,person,1,person,40,65
65,1,0,3498622,1.0,5.0,5.0,,,,,template,2025-02-10 11:50:22,2025-02-10,41,7,2,11,phone,1,person,1,person,0,65
41,1,65,3516325,1.0,5.0,5.0,,,,,template,2025-02-10 16:45:25,2025-02-10,41,7,2,16,phone,1,person,1,person,41,65
41,1,39,3600085,1.0,5.0,5.0,,,,,template,2025-02-11 16:01:25,2025-02-11,42,7,2,16,phone,1,person,1,person,39,41
41,0,0,3659034,1.0,,,,,,,template,2025-02-12 08:23:54,2025-02-12,43,7,2,8,email,1,person,1,person,0,41
39,0,47,3759876,1.0,,,,,,,template,2025-02-13 12:24:36,2025-02-13,44,7,2,12,email,1,person,1,person,39,47
67,0,47,3961182,1.0,,,,,,,template,2025-02-15 20:19:42,2025-02-15,46,7,2,20,email,1,person,1,person,47,67
40,0,39,4053111,1.0,,,,,,,template,2025-02-16 21:51:51,2025-02-16,47,7,2,21,email,1,person,1,person,39,40
67,0,39,4070126,1.0,,,,,,,template,2025-02-17 02:35:26,2025-02-17,48,8,2,2,email,1,person,1,person,39,67
47,0,39,4070519,1.0,,,,,,,template,2025-02-17 02:41:59,2025-02-17,48,8,2,2,email,1,person,1,person,39,47
39,0,66,4090886,1.0,,,,,,,template,2025-02-17 08:21:26,2025-02-17,48,8,2,8,email,1,person,1,person,39,66
47,0,39,4095752,1.0,,,,,,,template,2025-02-17 09:42:32,2025-02-17,48,8,2,9,email,1,person,1,person,39,47
67,0,39,4127140,1.0,,,,,,,template,2025-02-17 18:25:40,2025-02-17,48,8,2,18,email,1,person,1,person,39,67
41,1,0,4131639,1.0,5.0,5.0,,,,,template,2025-02-17 19:40:39,2025-02-17,48,8,2,19,phone,1,person,1,person,0,41
40,1,0,4154217,1.0,5.0,5.0,,,,,template,2025-02-18 01:56:57,2025-02-18,49,8,2,1,phone,1,person,1,person,0,40
67,0,39,4183004,1.0,,,,,,,template,2025-02-18 09:56:44,2025-02-18,49,8,2,9,email,1,person,1,person,39,67
40,1,41,4270052,1.0,5.0,5.0,,,,,template,2025-02-19 10:07:32,2025-02-19,50,8,2,10,phone,1,person,1,person,40,41
41,1,40,4277208,1.0,5.0,5.0,,,,,template,2025-02-19 12:06:48,2025-02-19,50,8,2,12,phone,1,person,1,person,40,41
41,1,39,4277404,1.0,5.0,5.0,,,,,template,2025-02-19 12:10:04,2025-02-19,50,8,2,12,phone,1,person,1,person,39,41
47,0,39,4382315,1.0,,,,,,,template,2025-02-20 17:18:35,2025-02-20,51,8,2,17,email,1,person,1,person,39,47
40,1,65,4484132,1.0,5.0,5.0,,,,,template,2025-02-21 21:35:32,2025-02-21,52,8,2,21,phone,1,person,1,person,40,65
65,1,40,4496982,1.0,5.0,5.0,,,,,template,2025-02-22 01:09:42,2025-02-22,53,8,2,1,phone,1,person,1,person,40,65
41,1,65,4551749,1.0,5.0,5.0,,,,,template,2025-02-22 16:22:29,2025-02-22,53,8,2,16,phone,1,person,1,person,41,65
39,0,47,4586298,1.0,,,,,,,template,2025-02-23 01:58:18,2025-02-23,54,8,2,1,email,1,person,1,person,39,47
39,0,66,4621522,1.0,,,,,,,template,2025-02-23 11:45:22,2025-02-23,54,8,2,11,email,1,person,1,person,39,66
41,1,65,4782814,1.0,5.0,5.0,,,,,template,2025-02-25 08:33:34,2025-02-25,56,9,2,8,phone,1,person,1,person,41,65
40,0,39,4886159,1.0,,,,,,,template,2025-02-26 13:15:59,2025-02-26,57,9,2,13,email,1,person,1,person,39,40
40,1,65,4957547,1.0,5.0,5.0,,,,,template,2025-02-27 09:05:47,2025-02-27,58,9,2,9,phone,1,person,1,person,40,65
41,0,39,4976943,1.0,,,,,,,template,2025-02-27 14:29:03,2025-02-27,58,9,2,14,email,1,person,1,person,39,41
65,1,0,4987301,1.0,5.0,5.0,,,,,template,2025-02-27 17:21:41,2025-02-27,58,9,2,17,phone,1,person,1,person,0,65
47,0,39,5007419,1.0,,,,,,,template,2025-02-27 22:56:59,2025-02-27,58,9,2,22,email,1,person,1,person,39,47
65,0,0,5031586,1.0,,,,,,,template,2025-02-28 05:39:46,2025-02-28,59,9,2,5,email,1,person,1,person,0,65
47,0,39,5196460,1.0,,,,,,,template,2025-03-02 03:27:40,2025-03-02,61,9,3,3,email,1,person,1,person,39,47
39,0,66,5310512,1.0,,,,,,,template,2025-03-03 11:08:32,2025-03-03,62,10,3,11,email,1,person,1,person,39,66
67,0,39,5385092,1.0,,,,,,,template,2025-03-04 07:51:32,2025-03-04,63,10,3,7,email,1,person,1,person,39,67
39,0,66,5509228,1.0,,,,,,,template,2025-03-05 18:20:28,2025-03-05,64,10,3,18,email,1,person,1,person,39,66
39,0,47,5539314,1.0,,,,,,,template,2025-03-06 02:41:54,2025-03-06,65,10,3,2,email,1,person,1,person,39,47
41,1,65,5686004,1.0,5.0,5.0,,,,,template,2025-03-07 19:26:44,2025-03-07,66,10,3,19,phone,1,person,1,person,41,65
41,0,39,5691175,1.0,,,,,,,template,2025-03-07 20:52:55,2025-03-07,66,10,3,20,email,1,person,1,person,39,41
41,0,39,5742139,1.0,,,,,,,template,2025-03-08 11:02:19,2025-03-08,67,10,3,11,email,1,person,1,person,39,41
65,1,40,5766198,1.0,5.0,5.0,,,,,template,2025-03-08 17:43:18,2025-03-08,67,10,3,17,phone,1,person,1,person,40,65
40,0,0,5775248,1.0,,,,,,,template,2025-03-08 20:14:08,2025-03-08,67,10,3,20,email,1,person,1,person,0,40
65,1,41,5830690,1.0,5.0,5.0,,,,,template,2025-03-09 11:38:10,2025-03-09,68,10,3,11,phone,1,person,1,person,41,65
41,1,39,5971021,1.0,5.0,5.0,,,,,template,2025-03-11 02:37:01,2025-03-11,70,11,3,2,phone,1,person,1,person,39,41
39,0,40,6040991,1.0,,,,,,,template,2025-03-11 22:03:11,2025-03-11,70,11,3,22,email,1,person,1,person,39,40
67,0,39,6042993,1.0,,,,,,,template,2025-03-11 22:36:33,2025-03-11,70,11,3,22,email,1,person,1,person,39,67
67,0,39,6049965,1.0,,,,,,,template,2025-03-12 00:32:45,2025-03-12,71,11,3,0,email,1,person,1,person,39,67
40,1,41,6105265,1.0,5.0,5.0,,,,,template,2025-03-12 15:54:25,2025-03-12,71,11,3,15,phone,1,person,1,person,40,41
41,0,65,6165002,1.0,,,,,,,template,2025-03-13 08:30:02,2025-03-13,72,11,3,8,email,1,person,1,person,41,65
47,0,39,6317557,1.0,,,,,,,template,2025-03-15 02:52:37,2025-03-15,74,11,3,2,email,1,person,1,person,39,47
65,1,40,6482840,1.0,5.0,5.0,,,,,template,2025-03-17 00:47:20,2025-03-17,76,12,3,0,phone,1,person,1,person,40,65
40,1,0,6786345,1.0,5.0,5.0,,,,,template,2025-03-20 13:05:45,2025-03-20,79,12,3,13,phone,1,person,1,person,0,40
41,1,65,6855138,1.0,5.0,5.0,,,,,template,2025-03-21 08:12:18,2025-03-21,80,12,3,8,phone,1,person,1,person,41,65
47,0,39,7171539,1.0,,,,,,,template,2025-03-25 00:05:39,2025-03-25,84,13,3,0,email,1,person,1,person,39,47
39,0,67,7312933,1.0,,,,,,,template,2025-03-26 15:22:13,2025-03-26,85,13,3,15,email,1,person,1,person,39,67
41,0,40,7402620,1.0,,,,,,,template,2025-03-27 16:17:00,2025-03-27,86,13,3,16,email,1,person,1,person,40,41
65,1,0,7414374,1.0,5.0,5.0,,,,,template,2025-03-27 19:32:54,2025-03-27,86,13,3,19,phone,1,person,1,person,0,65
40,1,39,7533645,1.0,5.0,5.0,,,,,template,2025-03-29 04:40:45,2025-03-29,88,13,3,4,phone,1,person,1,person,39,40
39,0,47,7781464,1.0,,,,,,,template,2025-04-01 01:31:04,2025-04-01,91,14,4,1,email,1,person,1,person,39,47
40,0,65,7808457,1.0,,,,,,,template,2025-04-01 09:00:57,2025-04-01,91,14,4,9,email,1,person,1,person,40,65
47,0,39,7819876,1.0,,,,,,,template,2025-04-01 12:11:16,2025-04-01,91,14,4,12,email,1,person,1,person,39,47
41,0,65,7943328,1.0,,,,,,,template,2025-04-02 22:28:48,2025-04-02,92,14,4,22,email,1,person,1,person,41,65
40,0,65,8044475,1.0,,,,,,,template,2025-04-04 02:34:35,2025-04-04,94,14,4,2,email,1,person,1,person,40,65
39,0,67,8104116,1.0,,,,,,,template,2025-04-04 19:08:36,2025-04-04,94,14,4,19,email,1,person,1,person,39,67
40,1,0,8119939,1.0,5.0,5.0,,,,,template,2025-04-04 23:32:19,2025-04-04,94,14,4,23,phone,1,person,1,person,0,40
47,0,67,8133038,1.0,,,,,,,template,2025-04-05 03:10:38,2025-04-05,95,14,4,3,email,1,person,1,person,47,67
41,0,0,8185766,1.0,,,,,,,template,2025-04-05 17:49:26,2025-04-05,95,14,4,17,email,1,person,1,person,0,41
39,0,67,8329065,1.0,,,,,,,template,2025-04-07 09:37:45,2025-04-07,97,15,4,9,email,1,person,1,person,39,67
39,0,47,8343434,1.0,,,,,,,template,2025-04-07 13:37:14,2025-04-07,97,15,4,13,email,1,person,1,person,39,47
67,0,39,8355747,1.0,,,,,,,template,2025-04-07 17:02:27,2025-04-07,97,15,4,17,email,1,person,1,person,39,67
41,0,65,8362608,1.0,,,,,,,template,2025-04-07 18:56:48,2025-04-07,97,15,4,18,email,1,person,1,person,41,65
39,0,47,8368424,1.0,,,,,,,template,2025-04-07 20:33:44,2025-04-07,97,15,4,20,email,1,person,1,person,39,47
67,0,39,8417268,1.0,,,,,,,template,2025-04-08 10:07:48,2025-04-08,98,15,4,10,email,1,person,1,person,39,67
39,0,67,8457147,1.0,,,,,,,template,2025-04-08 21:12:27,2025-04-08,98,15,4,21,email,1,person,1,person,39,67
67,0,39,8476012,1.0,,,,,,,template,2025-04-09 02:26:52,2025-04-09,99,15,4,2,email,1,person,1,person,39,67
41,0,65,8517950,1.0,,,,,,,template,2025-04-09 14:05:50,2025-04-09,99,15,4,14,email,1,person,1,person,41,65
39,0,67,8734801,1.0,,,,,,,template,2025-04-12 02:20:01,2025-04-12,102,15,4,2,email,1,person,1,person,39,67
40,1,39,8900010,1.0,5.0,5.0,,,,,template,2025-04-14 00:13:30,2025-04-14,104,16,4,0,phone,1,person,1,person,39,40
65,1,40,8903126,1.0,5.0,5.0,,,,,template,2025-04-14 01:05:26,2025-04-14,104,16,4,1,phone,1,person,1,person,40,65
47,0,39,8904333,1.0,,,,,,,template,2025-04-14 01:25:33,2025-04-14,104,16,4,1,email,1,person,1,person,39,47
47,0,67,9000765,1.0,,,,,,,template,2025-04-15 04:12:45,2025-04-15,105,16,4,4,email,1,person,1,person,47,67
47,0,39,9011916,1.0,,,,,,,template,2025-04-15 07:18:36,2025-04-15,105,16,4,7,email,1,person,1,person,39,47
41,0,0,9046447,1.0,,,,,,,template,2025-04-15 16:54:07,2025-04-15,105,16,4,16,email,1,person,1,person,0,41
39,0,47,9067046,1.0,,,,,,,template,2025-04-15 22:37:26,2025-04-15,105,16,4,22,email,1,person,1,person,39,47
40,0,41,9105534,1.0,,,,,,,template,2025-04-16 09:18:54,2025-04-16,106,16,4,9,email,1,person,1,person,40,41
65,1,39,9304539,1.0,5.0,5.0,,,,,template,2025-04-18 16:35:39,2025-04-18,108,16,4,16,phone,1,person,1,person,39,65
39,0,47,9383841,1.0,,,,,,,template,2025-04-19 14:37:21,2025-04-19,109,16,4,14,email,1,person,1,person,39,47
40,0,0,9393786,1.0,,,,,,,template,2025-04-19 17:23:06,2025-04-19,109,16,4,17,email,1,person,1,person,0,40
47,0,39,9719464,1.0,,,,,,,template,2025-04-23 11:51:04,2025-04-23,113,17,4,11,email,1,person,1,person,39,47
47,0,67,9726589,1.0,,,,,,,template,2025-04-23 13:49:49,2025-04-23,113,17,4,13,email,1,person,1,person,47,67
39,0,47,9736761,1.0,,,,,,,template,2025-04-23 16:39:21,2025-04-23,113,17,4,16,email,1,person,1,person,39,47
39,0,67,10119416,1.0,,,,,,,template,2025-04-28 02:56:56,2025-04-28,118,18,4,2,email,1,person,1,person,39,67
47,0,39,10213514,1.0,,,,,,,template,2025-04-29 05:05:14,2025-04-29,119,18,4,5,email,1,person,1,person,39,47
67,0,39,10297266,1.0,,,,,,,template,2025-04-30 04:21:06,2025-04-30,120,18,4,4,email,1,person,1,person,39,67
47,0,67,10330246,1.0,,,,,,,template,2025-04-30 13:30:46,2025-04-30,120,18,4,13,email,1,person,1,person,47,67
39,0,67,10872933,1.0,,,,,,,template,2025-05-06 20:15:33,2025-05-06,126,19,5,20,email,1,person,1,person,39,67
47,0,67,11077036,1.0,,,,,,,template,2025-05-09 04:57:16,2025-05-09,129,19,5,4,email,1,person,1,person,47,67
47,0,39,11199155,1.0,,,,,,,template,2025-05-10 14:52:35,2025-05-10,130,19,5,14,email,1,person,1,person,39,47
67,0,39,11816688,1.0,,,,,,,template,2025-05-17 18:24:48,2025-05-17,137,20,5,18,email,1,person,1,person,39,67
39,0,67,11880804,1.0,,,,,,,template,2025-05-18 12:13:24,2025-05-18,138,20,5,12,email,1,person,1,person,39,67
27,1,34,12319485,1.0,5.0,5.0,,,,,template,2025-05-23 14:04:45,2025-05-23,143,21,5,14,phone,1,person,1,person,27,34
43,1,37,12329138,1.0,3.0,5.0,,,,,template,2025-05-23 16:45:38,2025-05-23,143,21,5,16,phone,1,person,1,person,37,43
47,0,39,12334140,1.0,,,,,,,template,2025-05-23 18:09:00,2025-05-23,143,21,5,18,email,1,person,1,person,39,47
67,0,39,12337839,1.0,,,,,,,template,2025-05-23 19:10:39,2025-05-23,143,21,5,19,email,1,person,1,person,39,67
34,1,37,12339486,1.0,5.0,5.0,,,,,template,2025-05-23 19:38:06,2025-05-23,143,21,5,19,phone,1,person,1,person,34,37
27,1,41,12343663,1.0,5.0,5.0,,,,,template,2025-05-23 20:47:43,2025-05-23,143,21,5,20,phone,1,person,1,person,27,41
27,1,56,12346487,1.0,5.0,0.0,,,,,template,2025-05-23 21:34:47,2025-05-23,143,21,5,21,phone,1,person,1,person,27,56
27,1,56,12358432,1.0,5.0,0.0,,,,,template,2025-05-24 00:53:52,2025-05-24,144,21,5,0,phone,1,person,1,person,27,56
41,1,34,12375838,1.0,5.0,5.0,,,,,template,2025-05-24 05:43:58,2025-05-24,144,21,5,5,phone,1,person,1,person,34,41
41,1,43,12376404,1.0,5.0,3.0,,,,,template,2025-05-24 05:53:24,2025-05-24,144,21,5,5,phone,1,person,1,person,41,43
57,0,27,12384573,1.0,,,,,,,template,2025-05-24 08:09:33,2025-05-24,144,21,5,8,email,1,person,1,person,27,57
43,1,27,12391413,1.0,3.0,5.0,,,,,template,2025-05-24 10:03:33,2025-05-24,144,21,5,10,phone,1,person,1,person,27,43
58,0,37,12417098,1.0,,,,,,,template,2025-05-24 17:11:38,2025-05-24,144,21,5,17,email,1,person,1,person,37,58
63,1,27,12430499,1.0,4.0,5.0,,,,,template,2025-05-24 20:54:59,2025-05-24,144,21,5,20,phone,1,person,1,person,27,63
41,1,57,12446577,1.0,5.0,0.0,,,,,template,2025-05-25 01:22:57,2025-05-25,145,21,5,1,phone,1,person,1,person,41,57
27,1,34,12458588,1.0,5.0,5.0,,,,,template,2025-05-25 04:43:08,2025-05-25,145,21,5,4,phone,1,person,1,person,27,34
56,1,43,12466742,1.0,0.0,3.0,,,,,template,2025-05-25 06:59:02,2025-05-25,145,21,5,6,phone,1,person,1,person,43,56
63,0,34,12467201,1.0,,,,,,,template,2025-05-25 07:06:41,2025-05-25,145,21,5,7,email,1,person,1,person,34,63
37,0,56,12467442,1.0,,,,,,,template,2025-05-25 07:10:42,2025-05-25,145,21,5,7,email,1,person,1,person,37,56
58,0,43,12471153,1.0,,,,,,,template,2025-05-25 08:12:33,2025-05-25,145,21,5,8,email,1,person,1,person,43,58
56,0,47,12477797,1.0,,,,,,,template,2025-05-25 10:03:17,2025-05-25,145,21,5,10,email,1,person,1,person,47,56
63,1,37,12483241,1.0,4.0,5.0,,,,,template,2025-05-25 11:34:01,2025-05-25,145,21,5,11,phone,1,person,1,person,37,63
