graph,pair_min,pair_max,email,phone,total_communication
q1_graph2,599441,629627,4.0,0.0,4.0
q1_graph2,602912,629627,9.0,8.0,17.0
q1_graph2,602912,639051,6.0,5.0,11.0
q1_graph2,629627,639051,16.0,8.0,24.0
q1_graph3,493094,521318,5.0,0.0,5.0
q1_graph3,493094,536003,11.0,0.0,11.0
q1_graph3,493094,542649,3.0,0.0,3.0
q1_graph3,493094,572391,15.0,0.0,15.0
q1_graph3,493652,516236,0.0,2.0,2.0
q1_graph3,493652,538892,2.0,2.0,4.0
q1_graph3,493652,541619,1.0,1.0,2.0
q1_graph3,493652,544074,2.0,1.0,3.0
q1_graph3,493652,607386,1.0,1.0,2.0
q1_graph3,500813,538892,2.0,2.0,4.0
q1_graph3,500813,542965,2.0,3.0,5.0
q1_graph3,500813,572391,1.0,1.0,2.0
q1_graph3,500813,614761,3.0,4.0,7.0
q1_graph3,516236,538892,0.0,2.0,2.0
q1_graph3,516236,541619,1.0,0.0,1.0
q1_graph3,516236,544074,3.0,0.0,3.0
q1_graph3,516236,607386,1.0,0.0,1.0
q1_graph3,521318,572391,7.0,0.0,7.0
q1_graph3,536003,572391,4.0,0.0,4.0
q1_graph3,538892,541619,8.0,0.0,8.0
q1_graph3,538892,542965,0.0,2.0,2.0
q1_graph3,538892,544074,8.0,7.0,15.0
q1_graph3,538892,572391,0.0,3.0,3.0
q1_graph3,538892,607386,2.0,1.0,3.0
q1_graph3,538892,614761,2.0,1.0,3.0
q1_graph3,541619,544074,10.0,9.0,19.0
q1_graph3,541619,607386,2.0,3.0,5.0
q1_graph3,542649,572391,8.0,0.0,8.0
q1_graph3,542965,614761,3.0,2.0,5.0
q1_graph3,544074,607386,1.0,0.0,1.0
q1_graph3,572391,614761,1.0,4.0,5.0
q1_graph4,459726,464579,1.0,0.0,1.0
q1_graph4,464579,492850,1.0,0.0,1.0
q1_graph4,464579,500336,0.0,1.0,1.0
q1_graph4,464579,516393,0.0,1.0,1.0
q1_graph4,464579,521673,0.0,1.0,1.0
q1_graph4,464579,536906,1.0,0.0,1.0
q1_graph4,464579,537816,0.0,1.0,1.0
q1_graph4,464579,558089,0.0,1.0,1.0
q1_graph4,464579,571670,0.0,1.0,1.0
q1_graph4,464579,578749,0.0,1.0,1.0
q1_graph4,464579,579305,0.0,1.0,1.0
q1_graph4,464579,580237,0.0,1.0,1.0
q1_graph4,464579,588172,1.0,1.0,2.0
q1_graph4,464579,596726,1.0,0.0,1.0
q1_graph4,464579,611238,0.0,1.0,1.0
q1_graph4,464579,611572,1.0,0.0,1.0
q1_graph4,464579,623468,1.0,0.0,1.0
q1_graph4,464579,636721,1.0,0.0,1.0
q1_graph4,464579,645371,0.0,1.0,1.0
q1_graph4,477374,536906,0.0,1.0,1.0
q1_graph4,482012,492850,0.0,1.0,1.0
q1_graph4,482012,569329,0.0,1.0,1.0
q1_graph4,482012,580798,1.0,0.0,1.0
q1_graph4,482012,588172,0.0,1.0,1.0
q1_graph4,483005,516873,1.0,0.0,1.0
q1_graph4,483005,536906,1.0,0.0,1.0
q1_graph4,483005,579305,0.0,2.0,2.0
q1_graph4,483005,655963,1.0,0.0,1.0
q1_graph4,492850,536906,0.0,1.0,1.0
q1_graph4,492850,546593,0.0,1.0,1.0
q1_graph4,492850,569329,0.0,1.0,1.0
q1_graph4,492850,580798,1.0,1.0,2.0
q1_graph4,492850,588172,0.0,2.0,2.0
q1_graph4,492850,636721,1.0,0.0,1.0
q1_graph4,516873,536906,0.0,1.0,1.0
q1_graph4,516873,585606,1.0,0.0,1.0
q1_graph4,536906,541907,1.0,0.0,1.0
q1_graph4,536906,544636,0.0,1.0,1.0
q1_graph4,536906,557269,0.0,1.0,1.0
q1_graph4,536906,566580,0.0,1.0,1.0
q1_graph4,536906,569329,1.0,0.0,1.0
q1_graph4,536906,571369,1.0,0.0,1.0
q1_graph4,536906,579305,0.0,1.0,1.0
q1_graph4,536906,584457,1.0,0.0,1.0
q1_graph4,536906,585606,1.0,0.0,1.0
q1_graph4,536906,601496,0.0,1.0,1.0
q1_graph4,536906,628320,0.0,1.0,1.0
q1_graph4,536906,636721,0.0,1.0,1.0
q1_graph4,536906,639642,0.0,1.0,1.0
q1_graph4,536906,655963,0.0,1.0,1.0
q1_graph4,536906,657526,0.0,1.0,1.0
q1_graph4,541907,628320,1.0,0.0,1.0
q1_graph4,544636,544636,1.0,0.0,1.0
q1_graph4,544636,557269,0.0,3.0,3.0
q1_graph4,544636,579305,0.0,3.0,3.0
q1_graph4,544636,585606,0.0,1.0,1.0
q1_graph4,546593,580798,1.0,0.0,1.0
q1_graph4,546593,588172,0.0,1.0,1.0
q1_graph4,546593,636721,1.0,0.0,1.0
q1_graph4,546593,657526,1.0,0.0,1.0
q1_graph4,557269,601496,2.0,0.0,2.0
q1_graph4,557269,628320,0.0,1.0,1.0
q1_graph4,557269,639642,4.0,2.0,6.0
q1_graph4,557269,655963,0.0,1.0,1.0
q1_graph4,566580,584457,1.0,0.0,1.0
q1_graph4,569329,588172,1.0,1.0,2.0
q1_graph4,569329,636721,1.0,0.0,1.0
q1_graph4,579305,584457,2.0,1.0,3.0
q1_graph4,579305,601496,0.0,1.0,1.0
q1_graph4,579305,639642,1.0,2.0,3.0
q1_graph4,579305,655963,1.0,3.0,4.0
q1_graph4,580798,588172,1.0,0.0,1.0
q1_graph4,580798,636721,0.0,1.0,1.0
q1_graph4,584457,585606,0.0,1.0,1.0
q1_graph4,584457,601496,1.0,0.0,1.0
q1_graph4,584457,628320,0.0,1.0,1.0
q1_graph4,584457,639642,2.0,0.0,2.0
q1_graph4,588172,636721,1.0,0.0,1.0
q1_graph4,601496,655963,0.0,1.0,1.0
q1_graph4,639642,639642,1.0,1.0,2.0
q1_graph4,639642,655963,1.0,0.0,1.0
q1_graph4,655963,655963,0.0,1.0,1.0
q1_graph5,477657,549840,1.0,0.0,1.0
q1_graph5,477657,561819,0.0,1.0,1.0
q1_graph5,477657,573137,1.0,0.0,1.0
q1_graph5,477657,594308,0.0,1.0,1.0
q1_graph5,477657,619322,0.0,1.0,1.0
q1_graph5,477657,631903,1.0,0.0,1.0
q1_graph5,483784,549840,1.0,1.0,2.0
q1_graph5,483784,561819,0.0,1.0,1.0
q1_graph5,483784,619322,0.0,1.0,1.0
q1_graph5,483784,631903,1.0,0.0,1.0
q1_graph5,524153,530990,1.0,0.0,1.0
q1_graph5,524153,549840,1.0,0.0,1.0
q1_graph5,524153,594308,1.0,0.0,1.0
q1_graph5,524153,631903,1.0,0.0,1.0
q1_graph5,530990,561819,0.0,3.0,3.0
q1_graph5,530990,573137,0.0,1.0,1.0
q1_graph5,530990,619322,1.0,1.0,2.0
q1_graph5,530990,631903,1.0,0.0,1.0
q1_graph5,549840,594308,1.0,1.0,2.0
q1_graph5,549840,619322,1.0,0.0,1.0
q1_graph5,561819,594308,0.0,1.0,1.0
q1_graph5,561819,619322,1.0,0.0,1.0
q1_graph5,573137,594308,1.0,0.0,1.0
q1_graph5,594308,631903,1.0,1.0,2.0
q1_graph5,619322,631903,1.0,0.0,1.0
template,0,40,4.0,3.0,7.0
template,0,41,3.0,3.0,6.0
template,0,65,1.0,4.0,5.0
template,27,34,5.0,14.0,19.0
template,27,37,10.0,12.0,22.0
template,27,41,6.0,10.0,16.0
template,27,43,0.0,3.0,3.0
template,27,45,0.0,1.0,1.0
template,27,47,0.0,4.0,4.0
template,27,56,0.0,2.0,2.0
template,27,57,2.0,1.0,3.0
template,27,58,3.0,2.0,5.0
template,27,63,0.0,2.0,2.0
template,34,37,13.0,9.0,22.0
template,34,41,7.0,10.0,17.0
template,34,43,0.0,1.0,1.0
template,34,45,0.0,1.0,1.0
template,34,56,1.0,4.0,5.0
template,34,57,2.0,0.0,2.0
template,34,58,3.0,1.0,4.0
template,34,63,1.0,2.0,3.0
template,37,41,10.0,8.0,18.0
template,37,43,1.0,1.0,2.0
template,37,45,4.0,0.0,4.0
template,37,47,1.0,0.0,1.0
template,37,56,2.0,1.0,3.0
template,37,57,1.0,0.0,1.0
template,37,58,3.0,1.0,4.0
template,37,63,4.0,3.0,7.0
template,39,40,5.0,3.0,8.0
template,39,41,6.0,3.0,9.0
template,39,47,26.0,0.0,26.0
template,39,65,1.0,2.0,3.0
template,39,66,5.0,0.0,5.0
template,39,67,37.0,0.0,37.0
template,40,41,3.0,4.0,7.0
template,40,65,2.0,7.0,9.0
template,41,43,6.0,4.0,10.0
template,41,45,2.0,6.0,8.0
template,41,47,2.0,6.0,8.0
template,41,56,12.0,9.0,21.0
template,41,57,5.0,10.0,15.0
template,41,58,2.0,9.0,11.0
template,41,63,13.0,13.0,26.0
template,41,65,8.0,7.0,15.0
template,43,45,4.0,8.0,12.0
template,43,47,5.0,1.0,6.0
template,43,56,0.0,3.0,3.0
template,43,57,3.0,0.0,3.0
template,43,58,4.0,3.0,7.0
template,43,63,6.0,2.0,8.0
template,45,47,1.0,6.0,7.0
template,45,56,0.0,3.0,3.0
template,45,57,1.0,0.0,1.0
template,45,58,0.0,5.0,5.0
template,45,63,6.0,4.0,10.0
template,47,56,2.0,2.0,4.0
template,47,57,0.0,2.0,2.0
template,47,58,9.0,2.0,11.0
template,47,63,8.0,3.0,11.0
template,47,67,8.0,0.0,8.0
template,56,57,10.0,3.0,13.0
template,56,58,4.0,2.0,6.0
template,56,63,1.0,6.0,7.0
template,57,58,1.0,0.0,1.0
template,57,63,1.0,0.0,1.0
template,58,63,18.0,8.0,26.0
