graph,person_id,n_trips,n_countries,total_travel_days,avg_trip_duration,first_trip,last_trip
q1_graph5,573137,10,2,-5.0,-0.5,2025-11-28 00:00:00,2025-11-29 00:00:00
q1_graph5,594308,20,3,35.0,1.75,2025-02-08 00:00:00,2025-10-14 00:00:00
q1_graph5,619322,30,4,90.0,3.0,2025-01-24 00:00:00,2025-09-03 00:00:00
template,39,4,4,9.0,2.25,2025-10-07 06:26:46,2025-11-11 06:26:46
template,40,4,4,13.0,3.25,2025-10-12 06:26:46,2025-11-05 06:26:46
template,41,4,4,16.0,4.0,2025-10-14 06:26:46,2025-11-10 06:26:46
template,73,3,3,9.0,3.0,2025-07-28 06:26:46,2025-09-12 06:26:46
template,74,3,3,4.0,1.3333333333333333,2025-08-16 06:26:46,2025-09-10 06:26:46
template,75,3,3,10.0,3.3333333333333335,2025-08-05 06:26:46,2025-09-11 06:26:46
template,77,4,4,8.0,2.0,2025-05-25 06:26:46,2025-07-01 06:26:46
template,78,4,4,11.0,2.75,2025-05-17 06:26:46,2025-07-01 06:26:46
template,79,4,4,9.0,2.25,2025-05-27 06:26:46,2025-07-03 06:26:46
template,80,4,4,12.0,3.0,2025-05-23 06:26:46,2025-07-03 06:26:46
template,82,1,1,5.0,5.0,2025-07-15 06:26:46,2025-07-15 06:26:46
template,83,1,1,1.0,1.0,2025-07-23 06:26:46,2025-07-23 06:26:46
template,84,1,1,1.0,1.0,2025-07-24 06:26:46,2025-07-24 06:26:46
template,85,4,4,9.0,2.25,2025-11-22 06:26:46,2025-12-23 20:26:46
template,86,4,4,13.0,3.25,2025-12-07 06:26:46,2025-12-25 20:26:46
template,87,4,4,6.0,1.5,2025-11-19 06:26:46,2025-12-20 20:26:46
